id,name,platforms,developers,publishers,initial_release_date,genres,engine,modes,base_cost_on_steam,type_of_developer,simplified_category,platform_categories,game_age,age_group
263490,Rust,"['PlayStation 4', 'Microsoft Windows', 'Linux', 'macOS', 'Xbox One', 'Mac operating systems']","['Facepunch Studios', 'Double Eleven']","['Facepunch Studios', 'Double Eleven', 'Plaion']",2013-12-11,"['FPS Shooter', 'RPG', 'Adventure Game', 'Indie Game', 'Survival', 'Open World']",Unity,['Multiplayer'],39.99,"['Indie', 'AA']",Multiple,"['Console', 'PC']",11.0,10-20
33214,Fortnite,"['macOS', 'Windows', 'PlayStation 4', 'Xbox One', 'iOS', 'Nintendo Switch', 'Android', 'Xbox Series X/S', 'PlayStation 5']",['Epic Games'],['Epic Games'],2017-07-25,"['Shooter', 'RPG', 'Simulation', 'Strategy', 'Adventure Game', 'FPS', 'Action']",Unreal Engine 5,['Multiplayer'],,['Indie'],Indie,"['Mobile', 'Console', 'PC']",7.0,5-10
32982,Grand Theft Auto V,"['PlayStation 4', 'PlayStation 5', 'PlayStation 3', 'Xbox One', 'Xbox 360', 'Xbox Series X and Series S', 'Microsoft Windows']",['Rockstar North'],['Rockstar Games'],2013-09-17,"['FPS', 'Shooter', 'Driving/Racing Game', 'Adventure Game', 'Action']",RAGE,"['Single-player', 'Multiplayer']",39.98,['AAA'],AAA,"['Console', 'PC']",11.0,10-20
1672324422,Call of Duty: Black Ops 6,"['PlayStation 5', 'Xbox Series X and Series S', 'PlayStation 4', 'Xbox One', 'Xbox Cloud Gaming', 'Microsoft Windows']","['Treyarch', 'Raven Software']",['Activision'],2024-10-25,"['FPS', 'Shooter', 'Action']",IW,"['Single-player', 'Multiplayer']",69.99,"['Indie', 'AAA']",Multiple,"['Console', 'PC']",0.0,
21779,League of Legends,"['macOS', 'Microsoft Windows', 'Mac operating systems']",['Riot Games'],['Riot Games'],2009-10-27,"['RPG', 'Strategy MOBA', 'Action']",Proprietary Engine,['Multiplayer'],0.0,['AAA'],AAA,['PC'],15.0,10-20
516575,VALORANT,"['PlayStation 5', 'Microsoft Windows', 'Xbox Series X and Series S', 'Android']",['Riot Games'],['Riot Games'],2020-06-02,"['FPS', 'Shooter', 'Action']",Unreal Engine 4,['Multiplayer'],,['AAA'],AAA,"['Mobile', 'Console', 'PC']",5.0,3-5
460630,Tom Clancy's Rainbow Six Siege,"['PlayStation 4', 'Windows', 'Xbox One', 'PlayStation 5', 'Xbox Series X/S', 'Google Stadia']",['Ubisoft Montreal'],['Ubisoft'],2015-12-01,"['FPS', 'Shooter', 'Action']",AnvilNext 2.0,"['Single-player', 'Multiplayer']",19.99,['AAA'],AAA,"['Console', 'PC']",9.0,5-10
27471,Minecraft,"['Windows', 'macOS', 'Linux', 'Android', 'iOS', 'iPadOS', 'Xbox 360', 'Raspberry Pi', 'Windows Phone', 'PlayStation 3', 'Fire OS', 'PlayStation 4', 'Xbox One', 'PlayStation Vita', 'Wii U', 'Apple TV', 'tvOS', 'Nintendo Switch', 'New Nintendo 3DS', 'ChromeOS', 'PlayStation 5']",['Mojang Studios'],"['Mojang Studios', 'Xbox Game Studios']",2011-11-18,"['Simulation', 'Adventure Game', 'MMO', 'Action', 'Survival']",LWJGL,"['Single-player', 'Multiplayer']",,['Indie'],Indie,"['Mobile', 'Other', 'Console', 'PC']",13.0,10-20
2011938005,EA Sports FC 25,['Microsoft Windows'],"['EA Vancouver', 'EA Romania']","['Electronic Arts', 'EA Sports']",2024-09-27,"['Simulation', 'Sports Game']",EA Sports FC,"['Single-player', 'Multiplayer']",69.99,['AAA'],AAA,['PC'],0.0,
515025,Overwatch 2,"['PlayStation 5', 'PlayStation 4', 'Nintendo Switch', 'Xbox One', 'Xbox Series X and Series S', 'Microsoft Windows', 'GeForce Now']",['Blizzard Entertainment'],['Blizzard Entertainment'],2022-10-04,"['FPS', 'Shooter', 'Action']",Proprietary Engine,['Multiplayer'],0.0,['AAA'],AAA,"['Other', 'Console', 'PC']",2.0,1-3
